DrugID,CUI,name,AvgFrequency,StandardDeviation
DB00659,C0015230,Rash,50,0
DB00230,C0035304,Retinal_degeneration,0,0
DB00734,C0030305,Pancreatitis,0,0
DB00630,C0015967,Body_temperature_increased,0,0
DB01236,C0015230,Rash,0,0
DB00413,C0017168,Gastrooesophageal_reflux_disease,1,0
DB01118,C0035410,Rhabdomyolysis,0,0
DB01050,C0240059,Intraventricular_haemorrhage,18,8
DB00811,C0235299,Right_upper_quadrant_pain,23,24
DB00814,C0003862,Arthralgia,1,1
DB00656,C0917801,Insomnia,8,5
DB00709,C0000731,Abdominal_distension,3,0
DB00476,C0522063,Impaired_gastric_emptying,0,0
DB00395,C0030312,Pancytopenia,0,0
DB00734,C0034063,Pulmonary_oedema,0,0
DB00402,C0003467,Anxiety,1,1
DB00577,C0039231,Tachycardia,0,0
DB00998,C0020598,Hypocalcaemia,0,0
DB00879,C0018213,Basedow's_disease,0,0
DB01264,C0155626,Acute_myocardial_infarction,0,0
DB00316,C0037274,Skin_disorder,0,0
DB01062,C0001883,Airway_obstruction_NOS,0,0
DB00242,C0011991,Diarrhoea,23,25
DB01233,C0027497,Nausea,0,0
DB00195,C0035455,Rhinitis,1,2
DB00489,C0013604,Oedema,3,3
DB00564,C0027497,Nausea,26,22
DB00640,C0025061,Mediastinal_disorder,0,0
DB00783,C0006145,Breast_disorder,0,0
DB00564,C0151907,Skin_discolouration,0,0
DB00992,C0560024,Swelling_of_eyelid,0,0
DB00982,C0549419,Skin_fragility,0,0
DB00709,C0151786,Muscular_weakness,0,0
DB00506,C0019080,Haemorrhage,18,13
DB00091,C0017574,Gingivitis,2,2
DB08910,C0042029,Urinary_tract_infection,6,5
DB00399,C0234215,Discomfort,6,15
DB00215,C0002994,Angioedema,0,0
DB08864,C0080276,Urogenital_disorder,0,0
DB00331,C0035455,Rhinitis,5,1
DB00476,C0002792,Anaphylactic_shock,0,0
DB01186,C0039971,Thirst,1,0
DB00246,C0020517,Hypersensitivity,0,0
DB08868,C0037199,Sinusitis,6,1
DB00370,C0042109,Urticaria,0,0
DB00315,C0009676,Confusional_state,1,0
DB00872,C0032617,Polyuria,5,0
DB01219,C0034063,Pulmonary_oedema,0,0
DB08298,C0085932,Dermatitis_bullous,0,0
DB00982,C0033774,Pruritus,15,17
DB00215,C0004936,Mental_disorder,9,8
DB00213,C0037036,Salivary_hypersecretion,0,0
DB00746,C0344232,Vision_blurred,0,0
DB00620,C0948594,Musculoskeletal_discomfort,3,0
DB00538,C0030193,Pain,1,1
DB01044,C0235267,Eye_redness,0,0
DB00740,C0011551,Depersonalisation,1,0
DB01264,C0085610,Sinus_bradycardia,0,0
DB01101,C0151849,Phosphatase_alkaline_increased,16,14
DB00242,C0002871,Anaemia,28,31
DB00413,C0020517,Hypersensitivity,0,0
DB01080,C0014518,Toxic_epidermal_necrolysis,0,0
DB00252,C0030252,Palpitations,1,0
DB07576,C0020517,Hypersensitivity,0,0
DB00620,C0013395,Dyspepsia,3,1
DB00556,C0009421,Coma,0,0
DB00294,C0236075,Menopausal_symptoms,0,0
DB00187,C0037274,Skin_disorder,0,0
DB01001,C0235351,Tongue_ulceration,0,0
DB07774,C0549622,Sexual_dysfunction,1,1
DB01083,C1963818,Gastrointestinal_sounds_abnormal,1,0
DB03261,C0013595,Eczema,55,0
DB01136,C0042963,Vomiting,3,2
DB01217,C0151547,Cataract_specified,6,1
DB00740,C2242737,Anorectal_discomfort,1,0
DB08567,C0030232,Pallor,0,0
DB00227,C0015967,Body_temperature_increased,0,0
DB00476,C0233718,Pressure_of_speech,0,0
DB00853,C0043352,Dry_mouth,50,0
DB01175,C0376356,Premenstrual_tension,1,0
DB00708,C0012833,Dizziness,2,0
DB00301,C0040034,Thrombocytopenia,0,0
DB00441,C0151849,Phosphatase_alkaline_increased,15,23
DB00811,C0022904,Lacrimal_disorder,50,0
DB00323,C0233523,Antisocial_behaviour,0,0
DB00277,C0027769,Nervousness,42,25
DB00693,C0041657,Loss_of_consciousness,13,25
DB00252,C0085610,Sinus_bradycardia,1,0
DB00749,C0022107,Irritability,0,0
DB00502,C0001824,Agranulocytosis,0,0
DB00633,C0948349,Respiratory_tract_congestion,0,0
DB01265,C0035410,Rhabdomyolysis,0,0
DB00641,C0037199,Sinusitis,2,0
DB01062,C0917801,Insomnia,4,1
DB00193,C0042075,Urinary_tract_disorder,0,0
DB01175,C1306341,Mental_disability,13,25
DB00273,C0027092,Myopia,0,0
DB00285,C0040409,Tongue_disorder,1,0
DB00734,C0347390,Skin_papilloma,0,0
DB00685,C0019158,Hepatitis,0,0
DB02174,C0003862,Arthralgia,20,16
DB01190,C0041834,Erythema,18,23
DB00370,C0039070,Syncope,0,0
DB00379,C0003862,Arthralgia,3,2
DB01224,C0032617,Polyuria,0,0
DB00734,C0002871,Anaemia,0,0
DB00210,C0011616,Dermatitis_contact,2,2
DB05812,C0020538,Hypertension,2,2
DB05318,C0013378,Dysgeusia,1,0
DB01217,C0158328,Trigger_finger,0,0
DB00459,C0022346,Jaundice,0,0
DB00674,C0403632,Cystitis_noninfective,1,0
DB08864,C0042963,Vomiting,2,1
DB01222,C0006849,Oral_candidiasis,1,1
DB08910,C0040822,Tremor,11,2
DB00285,C0019079,Haemoptysis,0,0
DB00308,C0036974,Shock,0,0
DB00656,C1456784,Paranoia,0,0
DB00694,C0010200,Cough,12,12
DB00693,C1443060,Feeling_abnormal,0,0
DB07566,C0018681,Headache,10,10
DB01544,C0002622,Amnesia,50,0
DB01149,C0019270,Hernia,1,0
DB00989,C0025222,Melaena,1,0
DB01440,C0022107,Irritability,1,1
DB00363,C0001339,Pancreatitis_acute,0,0
DB00734,C0278106,Ejaculation_failure,0,0
DB00864,C0024305,Non-Hodgkin's_lymphoma,50,0
DB00669,C0026837,Muscle_rigidity,0,0
DB07709,C0020557,Hypertriglyceridaemia,25,29
DB00597,C1510410,Parosmia,0,0
DB00248,C0234215,Discomfort,0,1
DB03261,C0017178,Gastrointestinal_disorder,0,0
DB02174,C2242737,Anorectal_discomfort,14,13
DB00736,C0027497,Nausea,4,3
DB01181,C0002792,Anaphylactic_shock,0,0
DB00629,C0020456,Hyperglycaemia,4,1
DB00597,C0005758,Blister,0,0
DB00480,C0013428,Dysuria,29,25
DB06201,C0012569,Diplopia,4,3
DB00448,C0011991,Diarrhoea,4,3
DB01182,C0015672,Fatigue,4,4
DB00181,C0002622,Amnesia,1,0
DB00460,C0151828,Injection_site_pain,50,0
DB06701,C0042109,Urticaria,0,0
DB00986,C0030252,Palpitations,1,0
DB00661,C0035455,Rhinitis,3,0
DB01041,C0151313,Peripheral_sensory_neuropathy,8,3
DB00404,C0156404,Menstruation_irregular,0,0
DB01362,C0041969,Urethral_disorder,0,0
DB00624,C0009676,Confusional_state,0,0
DB01267,C0030252,Palpitations,0,0
DB08563,C0022660,Renal_failure_acute,0,0
DB00563,C0002792,Anaphylactic_shock,0,0
DB00811,C0006840,Candida_infection,14,0
DB01186,C0151772,Manic_psychosis,1,0
DB02444,C0234215,Discomfort,56,5
DB00993,C0002170,Alopecia,0,0
DB00195,C0034951,Refraction_disorder,0,0
DB00370,C0948525,Musculoskeletal_stiffness,1,0
DB00980,C0011991,Diarrhoea,2,0
DB00878,C0029408,Osteoarthritis,2,0
DB08911,C0948594,Musculoskeletal_discomfort,20,16
DB00688,C0007222,Cardiovascular_disorder,25,1
DB07600,C0152128,Drug_withdrawal_syndrome,50,0
DB00273,C0521839,Influenza_like_illness,2,2
DB00675,C0600142,Hot_flush,40,29
DB08567,C0006266,Bronchospasm,0,0
DB00843,C0017181,Gastrointestinal_haemorrhage,25,29
DB00764,C0858259,Nasal_discomfort,0,0
DB00758,C0034155,Thrombotic_thrombocytopenic_purpura,0,0
DB02782,C0030332,Panophthalmitis,0,0
DB01224,C0151315,Neck_stiffness,0,1
DB01204,C0030193,Pain,24,0
DB00746,C0151686,Growth_retardation,50,0
DB00688,C0020433,Hyperbilirubinaemia,14,6
DB00586,C0042109,Urticaria,0,0
DB01085,C0013604,Oedema,4,1
DB03261,C0018799,Cardiac_disorder,0,0
DB01196,C0011603,Dermatitis,2,2
DB00969,C1167965,Urine_output_increased,0,0
DB01156,C0023530,Leukopenia,0,0
DB00528,C0032617,Polyuria,0,0
DB08815,C0853034,Blood_creatine_phosphokinase_increased,50,0
DB00285,C1368065,Vascular_purpura,0,0
DB01186,C0015732,Faecal_incontinence,0,0
DB01367,C0043352,Dry_mouth,15,22
DB00939,C0013604,Oedema,0,0
DB01095,C0015967,Body_temperature_increased,0,0
DB07774,C0035455,Rhinitis,1,0
DB01002,C2830004,Somnolence,1,0
DB00736,C0231835,Tachypnoea,1,0
DB01013,C0521490,Application_site_irritation,0,0
DB00489,C0234428,Consciousness_abnormal,2,1
DB00234,C0020458,Hyperhidrosis,7,5
DB08873,C0030252,Palpitations,50,0
DB00734,C0009782,Connective_tissue_disorder,34,1
DB04953,C0575081,Gait_disturbance,4,2
DB00962,C0040822,Tremor,2,1
DB00620,C0240557,Nasal_irritation,6,2
DB00335,C0242350,Erectile_dysfunction,0,0
DB00338,C0233471,Flat_affect,0,0
DB00932,C0948695,White_blood_cell_count_low,5,1
DB00471,C0008728,Allergic_granulomatous_angiitis,0,0
DB00484,C0013604,Oedema,50,0
DB07600,C0001824,Agranulocytosis,0,0
DB01200,C0039231,Tachycardia,0,0
DB00564,C0853084,High_density_lipoprotein_increased,0,0
DB01083,C0877605,Burning_anal,1,0
DB01162,C0002792,Anaphylactic_shock,0,0
DB01115,C0043144,Wheezing,4,2
DB00224,C0027707,Nephritis_interstitial,0,0
DB00871,C0151636,Ventricular_extrasystoles,2,0
DB00262,C0004604,Back_pain,4,2
DB00556,C0002994,Angioedema,0,0
DB00341,C0015230,Rash,0,0
DB00597,C0004604,Back_pain,1,0
DB07600,C0033774,Pruritus,15,22
DB00193,C0020621,Hypokalaemia,0,0
DB00425,C0021400,Influenza,2,2
DB00590,C0234987,Dizziness_postural,4,5
DB00627,C0011991,Diarrhoea,12,2
DB01073,C0020458,Hyperhidrosis,7,8
DB00230,C0033575,Prostatic_disorder,1,0
DB00564,C0020651,Orthostatic_hypotension,0,0
DB00404,C0018524,Hallucination,1,0
DB01440,C0344232,Vision_blurred,0,0
DB01100,C0015230,Rash,4,4
DB00222,C0086565,Hepatic_function_abnormal,0,0
DB01073,C0333355,Mucosal_inflammation,0,0
DB08826,C0085641,Rash_pustular,0,0
DB04574,C0014544,Epilepsy,0,0
DB05314,C0020438,Hypercalciuria,3,0
DB00928,C0013395,Dyspepsia,12,18
DB01219,C0040046,Thrombophlebitis,0,0
DB00932,C0232492,Abdominal_pain_upper,2,0
DB00334,C0034065,Pulmonary_embolism,0,0
DB00820,C0152029,Sinus_congestion,3,4
DB00736,C0002170,Alopecia,0,0
DB00490,C0151564,Cogwheel_rigidity,0,0
DB00273,C0026858,Musculoskeletal_pain,0,0
DB00328,C0023418,Leukaemia,0,0
DB07600,C0241934,Hypomania,50,0
DB00441,C0585186,Cutaneous_hypersensitivity,55,0
DB01224,C0917798,Cerebral_ischaemia,1,0
DB00588,C0016436,Folliculitis,0,0
DB00489,C0030196,Pain_in_extremity,4,2
DB00497,C1258215,Ileus,0,0
DB00555,C0022660,Renal_failure_acute,0,0
DB00588,C0005758,Blister,0,0
DB00480,C0011570,Depression,14,23
DB04868,C0003467,Anxiety,26,29
DB00989,C0042384,Vasculitis,1,0
DB01149,C0018965,Haematuria,1,0
DB00530,C0013395,Dyspepsia,12,0
DB00734,C0020651,Orthostatic_hypotension,1,1
DB00590,C0231218,Malaise,8,6
DB00370,C0152198,Accommodation_disorder,1,0
DB00992,C0030193,Pain,29,34
DB06209,C0476281,Non-cardiac_chest_pain,3,0
DB01132,C0022116,Ischaemia,0,0
DB00209,C0014742,Erythema_multiforme,0,0
DB00273,C0235807,Hair_texture_abnormal,1,0
DB01029,C0013404,Dyspnoea,1,0
DB08298,C0002874,Aplastic_anaemia,0,0
DB00310,C0011603,Dermatitis,50,0
DB07600,C0002390,Alveolitis_allergic,0,0
DB01043,C0027051,Myocardial_infarction,1,0
DB01024,C0027441,Nasopharyngitis,18,2
DB00640,C0012833,Dizziness,8,6
DB00419,C0234215,Discomfort,50,0
DB00795,C0018799,Cardiac_disorder,0,0
DB00642,C0023530,Leukopenia,14,15
DB01149,C0011551,Depersonalisation,1,0
DB01002,C0042024,Urinary_incontinence,1,1
DB08873,C0221201,Rash_macular,50,0
DB00983,C0020649,Hypotension,0,0
DB00285,C0836924,Thrombocytosis,1,0
DB00811,C0442874,Neuropathy,1,0
DB00715,C0015371,Extrapyramidal_disorder,0,0
DB00715,C0020443,Hypercholesterolaemia,0,0
DB00996,C0233471,Flat_affect,1,0
DB00571,C0011570,Depression,0,0
DB01080,C0027441,Nasopharyngitis,11,2
DB00230,C0004239,Atrial_flutter,0,0
DB00724,C0015967,Body_temperature_increased,1,1
DB00746,C0030193,Pain,55,0
DB00273,C0001339,Pancreatitis_acute,0,0
DB02000,C0001126,Renal_tubular_acidosis,50,0
DB00745,C0085631,Agitation,0,0
DB00853,C0005778,Clotting,6,4
DB00669,C0012833,Dizziness,10,17
DB00715,C0034152,Henoch-Schonlein_purpura,0,0
DB00975,C0011168,Dysphagia,0,0
DB01175,C0009450,Infection,1,0
DB00506,C0030794,Pelvic_pain,8,8
DB01017,C0021400,Influenza,5,1
DB00715,C0011570,Depression,1,1
DB00363,C0038325,Stevens-Johnson_syndrome,0,0
DB00996,C0032285,Pneumonia,26,29
DB01181,C0234533,Convulsions_generalised,0,0
DB01224,C0014591,Epistaxis,1,1
DB01190,C0042963,Vomiting,2,0
DB00715,C0027051,Myocardial_infarction,0,0
DB08910,C0003862,Arthralgia,16,0
DB00480,C0242184,Hypoxia,2,0
DB00820,C0017168,Gastrooesophageal_reflux_disease,2,2
DB00338,C0015672,Fatigue,1,1
DB00296,C0009806,Constipation,2,2
DB00273,C0151786,Muscular_weakness,26,29
DB00346,C0003862,Arthralgia,1,0
DB06863,C0009443,Common_cold,1,0
DB00244,C0013473,Eating_disorder,0,0
DB01080,C0151611,Electroencephalogram_abnormal,0,0
DB00328,C0011603,Dermatitis,1,1
DB00694,C0038362,Stomatitis,4,4
DB00425,C0085633,Mood_swings,1,0
DB00997,C0002871,Anaemia,13,10
DB01208,C0085932,Dermatitis_bullous,0,0
DB00285,C0152198,Accommodation_disorder,21,22
DB00586,C0003467,Anxiety,1,1
DB00906,C0151766,Liver_function_test_abnormal,1,0
DB00399,C0009763,Conjunctivitis,25,29
DB01319,C0011603,Dermatitis,25,36
DB00864,C0002170,Alopecia,17,26
DB01224,C0042024,Urinary_incontinence,1,0
DB00820,C0948525,Musculoskeletal_stiffness,2,2
DB00091,C0011124,Libido_decreased,0,0
DB00928,C0274435,Transfusion_reaction,3,4
DB00964,C1443060,Feeling_abnormal,0,0
DB01197,C0947912,Myasthenia,0,0
DB00718,C0004093,Asthenia,17,21
DB01254,C0040034,Thrombocytopenia,43,31
DB00294,C0497247,Blood_pressure_increased,0,0
DB00630,C0027497,Nausea,2,1
DB01110,C0232492,Abdominal_pain_upper,2,1
DB00230,C0019158,Hepatitis,0,0
DB01062,C0010200,Cough,2,0
DB00762,C0267537,Caecitis,0,0
DB01100,C0151564,Cogwheel_rigidity,0,0
DB02831,C0687713,Gastrointestinal_pain,24,1
DB01041,C0006285,Bronchopneumonia,2,1
DB00248,C3665386,Abnormal_vision,1,1
DB00323,C0427008,Stiffness,2,1
DB00762,C1565489,Renal_impairment,0,0
DB03261,C0040053,Thrombosis,0,0
DB00363,C0004093,Asthenia,1,1
DB00808,C0012833,Dizziness,4,3
DB00987,C0917801,Insomnia,19,5
DB00230,C0032285,Pneumonia,50,0
DB00722,C0234215,Discomfort,1,1
DB01186,C0030305,Pancreatitis,0,0
DB01072,C0038363,Aphthous_stomatitis,1,0
DB00582,C0497156,Lymphadenopathy,1,0
DB00215,C0023530,Leukopenia,0,0
DB00987,C0085631,Agitation,11,4
DB00244,C0031039,Pericardial_effusion,0,0
DB01609,C0033774,Pruritus,50,0
DB00273,C0025874,Metrorrhagia,2,1
DB06700,C0015672,Fatigue,8,3
DB08625,C0037188,Sinoatrial_block,0,0
DB00560,C0038325,Stevens-Johnson_syndrome,0,0
DB04868,C0018965,Haematuria,1,0
DB08864,C0151904,Aspartate_aminotransferase_increased,2,0
DB00586,C0016382,Flushing,0,0
DB08380,C0006277,Bronchitis,6,6
DB00661,C0017566,Gingival_hyperplasia,0,0
DB06698,C0006266,Bronchospasm,0,0
DB00230,C0039070,Syncope,1,0
DB00338,C0239571,Foetor_hepaticus,0,0
DB00244,C0042571,Vertigo,0,0
DB06711,C0022568,Keratitis,1,0
DB00493,C0020517,Hypersensitivity,1,1
DB00334,C0151883,Vesiculobullous_rash,1,1
DB02584,C1096403,Left_ventricular_ejection_fraction_decreased,50,0
DB00715,C0948525,Musculoskeletal_stiffness,0,0
DB00285,C0037317,Sleep_disturbance,0,0
DB02782,C0947912,Myasthenia,2,2
DB00264,C0701811,Short-term_memory_loss,0,0
DB00983,C0004238,Atrial_fibrillation,0,0
DB00969,C0012797,Diuresis,0,0
DB01211,C0018799,Cardiac_disorder,1,1
DB00334,C0151908,Dry_skin,1,0
DB01006,C0151744,Myocardial_ischaemia,0,0
DB00675,C0030193,Pain,8,7
DB00715,C0019572,Hirsutism,0,0
DB00586,C0151736,Accidental_injury,2,2
DB00661,C0002962,Angina_pectoris,0,0
DB00916,C0041834,Erythema,2,0
DB00734,C0002170,Alopecia,0,0
DB00843,C0019080,Haemorrhage,2,1
DB00273,C0011206,Delirium,1,0
DB01149,C0034880,Hyperacusis,1,0
DB08625,C0040264,Tinnitus,0,0
DB00404,C0009806,Constipation,13,8
DB00252,C0002792,Anaphylactic_shock,0,0
DB00282,C0015230,Rash,25,29
DB00555,C0149745,Mouth_ulceration,1,0
DB00193,C0476280,Musculoskeletal_chest_pain,0,0
DB00425,C0235573,Haemoglobinaemia,0,0
DB07600,C3665347,Visual_impairment,8,7
DB00490,C0948089,Acute_coronary_syndrome,0,0
DB01175,C0027765,Nervous_system_disorder,0,0
DB01008,C0867389,Chronic_graft_versus_host_disease,0,0
DB00476,C0858357,Oesophageal_stenosis_acquired,1,0
DB00758,C0014518,Toxic_epidermal_necrolysis,0,0
DB00268,C0037672,Somnambulism,26,29
DB00882,C1306503,Exomphalos,0,0
DB00301,C0015230,Rash,1,0
DB00252,C0003123,Anorexia,1,0
DB00273,C0014518,Toxic_epidermal_necrolysis,0,0
DB01136,C0085096,Peripheral_vascular_disorder,2,0
DB00715,C0085702,Monocytosis,0,0
DB07998,C0036974,Shock,2,2
DB06700,C0011603,Dermatitis,1,1
DB01129,C0000737,Abdominal_pain,4,1
DB01267,C0011880,Diabetic_ketoacidosis,0,0
DB00181,C0003811,Arrhythmia,0,0
DB00209,C0021400,Influenza,2,0
DB00918,C0086132,Depressive_symptom,0,0
DB05379,C0011603,Dermatitis,0,0
DB00399,C0349790,Exacerbation_of_asthma,0,0
DB00268,C0878773,Hypertonic_bladder,1,0
DB00715,C0151911,Generalised_spasm,0,0
DB00734,C0853692,Blood_triglycerides_increased,0,0
DB00244,C0011615,Dermatitis_atopic,0,0
DB00268,C2939147,Feeling_hot,1,0
DB01085,C0016382,Flushing,7,4
DB01129,C2239176,Hepatocellular_carcinoma,0,0
DB00528,C0235896,Lung_infiltration,0,0
DB00915,C0015672,Fatigue,50,0
DB00989,C0028084,Nightmare,50,0
DB01233,C0018524,Hallucination,0,0
DB00413,C0030193,Pain,1,1
DB00659,C0022650,Calculus_of_kidney,0,0
DB00296,C0002871,Anaemia,4,5
DB01060,C0038325,Stevens-Johnson_syndrome,0,0
DB04861,C0021775,Intermittent_claudication,0,0
DB00273,C0043096,Weight_decreased,9,7
DB00582,C1704437,Respiratory_distress_syndrome,50,0
DB02638,C0020538,Hypertension,0,0
DB00327,C0037763,Muscle_spasms,2,1
DB00661,C0013604,Oedema,2,1
DB00252,C0042024,Urinary_incontinence,1,0
DB00543,C0027051,Myocardial_infarction,0,0
DB07600,C0003467,Anxiety,18,22
DB00296,C0013428,Dysuria,1,0
DB00630,C0014866,Oesophageal_stenosis,0,0
DB00964,C0233494,Tension,0,0
DB01280,C0424790,Rigors,4,6
DB01041,C0013404,Dyspnoea,15,15
DB00334,C0011880,Diabetic_ketoacidosis,0,0
DB00679,C0002874,Aplastic_anaemia,0,0
DB00425,C0010692,Cystitis,1,0
DB01175,C0242891,Tooth_injury,0,0
DB00552,C0080276,Urogenital_disorder,15,0
DB00964,C0015672,Fatigue,0,0
DB01248,C0010200,Cough,3,3
DB00586,C0027707,Nephritis_interstitial,0,0
DB00531,C0011603,Dermatitis,0,0
DB00715,C0004509,Azoospermia,0,0
DB04868,C0595877,Blood_glucose_increased,50,0
DB00734,C0038362,Stomatitis,1,0
DB00370,C0011206,Delirium,1,0
DB01136,C0027424,Nasal_congestion,0,1
DB00808,C0235996,Hepatic_enzyme_increased,0,0
DB01017,C0006826,Neoplasm_malignant,0,0
DB00697,C0011168,Dysphagia,1,0
DB00512,C0011053,Deafness,0,0
DB00490,C0740425,Taste_altered,1,0
DB00624,C0239935,Haematocrit_increased,3,2
DB05488,C0022568,Keratitis,0,0
DB00555,C0151463,Breast_abscess,0,0
DB00419,C0751295,Memory_loss,4,6
DB01280,C0030193,Pain,5,5
DB01165,C0019158,Hepatitis,0,0
DB00909,C0019572,Hirsutism,1,0
DB00227,C0013395,Dyspepsia,1,0
DB00992,C1274926,Stinging_skin,11,11
DB00323,C0008031,Chest_pain,2,1
DB00808,C0041657,Loss_of_consciousness,0,0
DB00264,C0948594,Musculoskeletal_discomfort,17,29
DB00912,C0018681,Headache,9,1
DB00843,C0005741,Blepharitis,1,0
DB01586,C0234215,Discomfort,0,0
DB00489,C0428977,Bradycardia,7,5
DB01367,C0011253,Delusion,1,0
DB02174,C0010346,Crohn's_disease,6,8
DB00715,C1328337,Urethritis_noninfective,0,0
DB00715,C0151905,Alanine_aminotransferase_increased,0,0
DB00303,C0836924,Thrombocytosis,3,2
DB00459,C0085271,Self_injurious_behaviour,0,0
DB01186,C0025320,Menopause,1,0
DB08567,C0043352,Dry_mouth,12,11
DB00918,C0010073,Arteriospasm_coronary,0,0
DB00669,C0232849,Bladder_pain,0,0
DB00472,C0014742,Erythema_multiforme,0,0
DB06700,C0027769,Nervousness,1,1
DB01044,C0010034,Corneal_disorder,0,0
DB01200,C0036572,Convulsion,0,0
DB05379,C0242350,Erectile_dysfunction,0,0
DB00459,C0231528,Myalgia,0,0
DB00989,C0024894,Mastitis,1,0
DB00285,C0149931,Migraine,50,0
DB00715,C0041657,Loss_of_consciousness,34,29
DB00910,C0042963,Vomiting,5,2
DB08311,C0035410,Rhabdomyolysis,0,0
DB00814,C0009782,Connective_tissue_disorder,2,1
DB00588,C0231919,Nasal_dryness,26,28
DB00548,C0702166,Acne,0,0
DB00203,C0086168,Dissociation,0,0
DB01280,C0009676,Confusional_state,3,4
DB00715,C0017574,Gingivitis,0,0
DB08826,C0267596,Rectal_haemorrhage,0,0
DB01175,C0549391,Bladder_discomfort,0,0
DB01128,C0011991,Diarrhoea,20,24
DB01319,C0014742,Erythema_multiforme,0,0
DB01254,C0085682,Hypophosphataemia,16,7
DB01211,C1262535,Jaundice_hepatocellular,0,0
DB00334,C0019158,Hepatitis,0,0
DB00674,C0004134,Ataxia,26,29
DB07828,C0265031,Haemorrhoidal_haemorrhage,1,0
DB00688,C0085593,Chills,11,1
DB00912,C0008031,Chest_pain,2,1
DB00967,C0234133,Extrapyramidal_symptoms,0,0
DB06148,C0027424,Nasal_congestion,0,0
DB08881,C0038325,Stevens-Johnson_syndrome,25,29
DB00760,C0042109,Urticaria,0,0
DB04868,C1527344,Dysphonia,50,0
DB01204,C0020458,Hyperhidrosis,9,0
DB02174,C0700590,Sweating_increased,6,9
DB00448,C0235431,Blood_creatinine_increased,0,0
DB00853,C0020580,Hypoaesthesia,1,0
DB00248,C0085649,Oedema_peripheral,4,3
DB00203,C0033117,Priapism,0,0
DB00363,C0015734,Faecalith,0,0
DB01072,C0042023,Pollakiuria,1,0
DB01166,C0012833,Dizziness,8,2
DB00669,C0011175,Dehydration,0,0
DB00480,C1740832,AML_progression,0,0
DB00476,C0278106,Ejaculation_failure,1,0
