HPOID,Name,CUI,DBpedia_URI,,
2860,Squamous_cell_carcinoma,C0007137,http://dbpedia.org/resource/Squamous-cell_carcinoma,,
1644,Dilated_cardiomyopathy,C0007193,http://dbpedia.org/resource/Dilated_cardiomyopathy,,
1639,Hypertrophic_cardiomyopathy,C0007194,http://dbpedia.org/resource/Hypertrophic_cardiomyopathy,,
2524,Cataplexy,C0007384,http://dbpedia.org/resource/Cataplexy,,
100658,Cellulitis,C0007642,http://dbpedia.org/resource/Cellulitis,,
2637,Cerebral_ischemia,C0007785,http://dbpedia.org/resource/Brain_ischemia,,
2326,Transient_ischemic_attack,C0007787,http://dbpedia.org/resource/Transient_ischemic_attack,,
30159,Cervical_polyp,C0007855,http://dbpedia.org/resource/Cervical_polyp,,
30833,Neck_pain,C0007859,http://dbpedia.org/resource/Neck_pain,,
30160,Cervicitis,C0007860,http://dbpedia.org/resource/Cervicitis,,
10605,Chalazion,C0007933,http://dbpedia.org/resource/Chalazion,,
100825,Cheilitis,C0007971,http://dbpedia.org/resource/Cheilitis,,
100749,Chest_pain,C0008031,http://dbpedia.org/resource/Chest_pain,,
30151,Cholangitis,C0008311,http://dbpedia.org/resource/Cholangitis_(disambiguation),,
1082,Cholecystitis,C0008325,http://dbpedia.org/resource/Cholecystitis,,
1081,Cholelithiasis,C0008350,,,
1396,Cholestasis,C0008370,http://dbpedia.org/resource/Cholestasis,,
1406,Intrahepatic_cholestasis,C0008372,http://dbpedia.org/resource/Intrahepatic_cholestasis_of_pregnancy,,
2072,Chorea,C0008489,http://dbpedia.org/resource/Chorea,,
100768,Choriocarcinoma,C0008497,http://dbpedia.org/resource/Choriocarcinoma,,
12424,Chorioretinitis,C0008513,http://dbpedia.org/resource/Chorioretinitis,,
10310,Chylothorax,C0008733,http://dbpedia.org/resource/Chylothorax,,
25253,Claustrophobia,C0008909,http://dbpedia.org/resource/Claustrophobia,,
204,Cleft_upper_lip,C0008924,http://dbpedia.org/resource/Cleft_lip_and_palate,,
410030,Cleft_lip,C0008924,http://dbpedia.org/resource/Cleft_lip_and_palate,,
175,Cleft_palate,C0008925,http://dbpedia.org/resource/Cleft_lip_and_palate,,
2169,Clonus,C0009024,http://dbpedia.org/resource/Clonus,,
1762,Talipes_equinovarus,C0009081,http://dbpedia.org/resource/Club_foot,,
1883,Talipes,C0009081,http://dbpedia.org/resource/Talides,,
8110,Equinovarus_deformity,C0009081,http://dbpedia.org/resource/Club_foot,,
12199,Cluster_headache,C0009088,http://dbpedia.org/resource/Cluster_headache,,
2583,Colitis,C0009319,http://dbpedia.org/resource/Colitis,,
100279,Ulcerative_colitis,C0009324,http://dbpedia.org/resource/Ulcerative_colitis,,
1259,Coma,C0009421,http://dbpedia.org/resource/Coma,,
1289,Confusion,C0009676,http://dbpedia.org/resource/Confusion,,
509,Conjunctivitis,C0009763,http://dbpedia.org/resource/Conjunctivitis,,
7879,Allergic_conjunctivitis,C0009766,http://dbpedia.org/resource/Allergic_conjunctivitis,,
2019,Constipation,C0009806,http://dbpedia.org/resource/Constipation,,
2373,Febrile_seizures,C0009952,http://dbpedia.org/resource/Febrile_seizure,,
7957,Corneal_opacity,C0010038,http://dbpedia.org/resource/Cornel_Cornea,,
12804,Corneal_ulceration,C0010043,http://dbpedia.org/resource/Corneal_ulcer,,
25497,Coronary_artery_spasm,C0010073,http://dbpedia.org/resource/Coronary_vasospasm,,
12735,Cough,C0010200,http://dbpedia.org/resource/Cough,,
100280,Crohn's_disease,C0010346,http://dbpedia.org/resource/Crohn's_disease,,
973,Cutis_laxa,C0010495,http://dbpedia.org/resource/Cutis_laxa,,
10750,Dermatochalasis,C0010495,http://dbpedia.org/resource/Dermatochalasis,,
961,Cyanosis,C0010520,http://dbpedia.org/resource/Cyanosis,,
100577,Urinary_bladder_inflammation,C0010692,http://dbpedia.org/resource/Urinary_bladder,,
620,Dacryocystitis,C0010930,http://dbpedia.org/resource/Dacryocystitis,,
1699,Sudden_death,C0011071,http://dbpedia.org/resource/Sudden_death,,
12399,Pressure_ulcer,C0011127,http://dbpedia.org/resource/Pressure_ulcer,,
2015,Dysphagia,C0011168,http://dbpedia.org/resource/Dysphagia,,
1944,Dehydration,C0011175,http://dbpedia.org/resource/Dehydration,,
31258,Delirium,C0011206,http://dbpedia.org/resource/Delirium,,
746,Delusions,C0011253,http://dbpedia.org/resource/Delusion,,
670,Carious_teeth,C0011334,http://dbpedia.org/resource/TEETH!!!,,
716,Depressivity,C0011581,http://dbpedia.org/resource/Expressivity,,
1019,Erythroderma,C0011606,http://dbpedia.org/resource/Erythroderma,,
1047,Atopic_dermatitis,C0011615,http://dbpedia.org/resource/Atopic_dermatitis,,
100324,Scleroderma,C0011644,http://dbpedia.org/resource/Scleroderma,,
873,Diabetes_insipidus,C0011848,http://dbpedia.org/resource/Diabetes_insipidus,,
819,Diabetes_mellitus,C0011849,http://dbpedia.org/resource/Diabetes_mellitus,,
5978,Type_II_diabetes_mellitus,C0011860,http://dbpedia.org/resource/Diabetes_mellitus_type_2,,
1953,Diabetic_ketoacidosis,C0011880,http://dbpedia.org/resource/Diabetic_ketoacidosis,,
2014,Diarrhea,C0011991,http://dbpedia.org/resource/Diarrhea,,
651,Diplopia,C0012569,http://dbpedia.org/resource/Diplopia,,
1373,Joint_dislocation,C0012691,http://dbpedia.org/resource/Joint_dislocation,,
5521,Disseminated_intravascular_coagulation,C0012739,http://dbpedia.org/resource/Disseminated_intravascular_coagulation,,
2307,Drooling,C0013132,http://dbpedia.org/resource/Drooling,,
3781,Excessive_salivation,C0013132,http://dbpedia.org/resource/Excessive_vectoring,,
2329,Drowsiness,C0013144,http://dbpedia.org/resource/Somnolence,,
1097,Keratoconjunctivitis_sicca,C0013238,http://dbpedia.org/resource/Keratoconjunctivitis_sicca,,
1643,Patent_ductus_arteriosus,C0013274,http://dbpedia.org/resource/Patent_ductus_arteriosus,,
2588,Duodenal_ulcer,C0013295,http://dbpedia.org/resource/Peptic_ulcer,,
5679,Dupuytren_contracture,C0013312,http://dbpedia.org/resource/Dupuytren's_contracture,,
3510,Severe_short_stature,C0013336,http://dbpedia.org/resource/Idiopathic_short_stature,,
4322,Short_stature,C0013336,http://dbpedia.org/resource/Short_stature,,
1260,Dysarthria,C0013362,http://dbpedia.org/resource/Dysarthria,,
31249,Parageusia,C0013378,http://dbpedia.org/resource/Paranepsia,,
100660,Dyskinesia,C0013384,http://dbpedia.org/resource/Dyskinesia,,
100607,Dysmenorrhea,C0013390,http://dbpedia.org/resource/Dysmenorrhea,,
2094,Dyspnea,C0013404,http://dbpedia.org/resource/Dyspnea,,
100518,Dysuria,C0013428,http://dbpedia.org/resource/Dysuria,,
30766,Ear_pain,C0013456,http://dbpedia.org/resource/Ear_pain,,
31364,Ecchymosis,C0013491,http://dbpedia.org/resource/Ecchymosis,,
10529,Echolalia,C0013528,http://dbpedia.org/resource/Echolalia,,
100601,Eclampsia,C0013537,http://dbpedia.org/resource/Eclampsia,,
656,Ectropion,C0013592,http://dbpedia.org/resource/Ectropion,,
964,Eczema,C0013595,http://dbpedia.org/resource/Eczema,,
976,Eczematoid_dermatitis,C0013595,http://dbpedia.org/resource/Dermatitis,,
969,Edema,C0013604,http://dbpedia.org/resource/Edema,,
30249,Enanthema,C0014034,http://dbpedia.org/resource/Exanthem,,
2383,Encephalitis,C0014038,http://dbpedia.org/resource/Encephalitis,,
100584,Endocarditis,C0014118,http://dbpedia.org/resource/Endocarditis,,
40298,Hyperplasia_of_the_endometrium,C0014173,http://dbpedia.org/resource/Endometrial_hyperplasia,,
30127,Endometriosis,C0014175,http://dbpedia.org/resource/Endometriosis,,
4387,Enterocolitis,C0014356,http://dbpedia.org/resource/Enterocolitis,,
805,Enuresis,C0014394,http://dbpedia.org/resource/Enuresis,,
1880,Eosinophilia,C0014457,http://dbpedia.org/resource/Eosinophilia,,
31,Epididymitis,C0014534,http://dbpedia.org/resource/Epididymitis,,
100534,Episcleritis,C0014583,http://dbpedia.org/resource/Episcleritis,,
421,Epistaxis,C0014591,http://dbpedia.org/resource/Epistasis,,
1055,Erysipelas,C0014733,http://dbpedia.org/resource/Erysipelas,,
12219,Erythema_nodosum,C0014743,http://dbpedia.org/resource/Erythema_nodosum,,
2571,Achalasia,C0014848,http://dbpedia.org/resource/Achalasia,,
25271,Esophageal_spasms,C0014863,http://dbpedia.org/resource/Diffuse_esophageal_spasm,,
2043,Esophageal_stricture,C0014866,http://dbpedia.org/resource/Esophageal_stricture,,
10450,Esophageal_stenosis,C0014866,http://dbpedia.org/resource/Stenosis,,
100633,Esophagitis,C0014868,http://dbpedia.org/resource/Esophagitis,,
988,Skin_rash,C0015230,http://dbpedia.org/resource/Swin_Cash,,
520,Proptosis,C0015300,http://dbpedia.org/resource/Pyroptosis,,
11885,Hemorrhage_of_the_eye,C0015402,http://dbpedia.org/resource/Bleeding,,
7209,Facial_paralysis,C0015469,http://dbpedia.org/resource/Facial_nerve_paralysis,,
10628,Facial_palsy,C0015469,http://dbpedia.org/resource/Facial_nerve_paralysis,,
2380,Fasciculations,C0015644,http://dbpedia.org/resource/Fasciculation,,
12378,Fatigue,C0015672,http://dbpedia.org/resource/Fatigue,,
1397,Hepatic_steatosis,C0015695,http://dbpedia.org/resource/Steatosis,,
2607,Bowel_incontinence,C0015732,http://dbpedia.org/resource/Incontinence,,
31846,Femur_fracture,C0015802,http://dbpedia.org/resource/Femur,,
25116,Fetal_distress,C0015930,http://dbpedia.org/resource/Fetal_distress,,
1511,Intrauterine_growth_retardation,C0015934,http://dbpedia.org/resource/Intrauterine_growth_restriction,,
1945,Fever,C0015967,http://dbpedia.org/resource/Fever,,
12390,Anal_fissure,C0016167,http://dbpedia.org/resource/Anal_fissure,,
30157,Flank_pain,C0016199,http://dbpedia.org/resource/Frank_Bain,,
100832,Vitreous_floaters,C0016242,http://dbpedia.org/resource/Vitreous,,
31284,Flushing,C0016382,http://dbpedia.org/resource/Flushing,,
100507,Folate_deficiency,C0016412,http://dbpedia.org/resource/Folate_deficiency,,
25084,Folliculitis,C0016436,http://dbpedia.org/resource/Folliculitis,,
25238,Foot_pain,C0016512,http://dbpedia.org/resource/Fort_Bain,,
1655,Patent_foramen_ovale,C0016522,http://dbpedia.org/resource/Foramen_ovale,,
1684,Secundum_atrial_septal_defect,C0016522,http://dbpedia.org/resource/Atrial_septal_defect,,
2757,Recurrent_fractures,C0016655,http://dbpedia.org/resource/Fractured,,
100758,Gangrene,C0017086,http://dbpedia.org/resource/Gangrene,,
5263,Gastritis,C0017152,http://dbpedia.org/resource/Gastritis,,
2020,Gastroesophageal_reflux,C0017168,http://dbpedia.org/resource/Gastroesophageal_reflux_disease,,
2239,Gastrointestinal_hemorrhage,C0017181,http://dbpedia.org/resource/Gastrointestinal_bleeding,,
225,Gingival_bleeding,C0017565,http://dbpedia.org/resource/Epulis,,
230,Gingivitis,C0017574,http://dbpedia.org/resource/Gingivitis,,
501,Glaucoma,C0017601,http://dbpedia.org/resource/Glaucoma,,
12109,Angle_closure_glaucoma,C0017605,http://dbpedia.org/resource/Glaucoma,,
99,Glomerulonephritis,C0017658,http://dbpedia.org/resource/Glomerulonephritis,,
97,Focal_segmental_glomerulosclerosis,C0017668,http://dbpedia.org/resource/Focal_segmental_glomerulosclerosis,,
30811,Tongue_pain,C0017672,http://dbpedia.org/resource/Pain_&_Gain,,
206,Glossitis,C0017675,http://dbpedia.org/resource/Glossitis,,
3076,Glycosuria,C0017979,http://dbpedia.org/resource/Glycosuria,,
853,Goiter,C0018021,http://dbpedia.org/resource/Gorter,,
1997,Gout,C0018099,http://dbpedia.org/resource/Gout,,
100647,Graves_disease,C0018213,http://dbpedia.org/resource/Graves'_disease,,
771,Gynecomastia,C0018418,http://dbpedia.org/resource/Gynecomastia,,
100812,Halitosis,C0018520,http://dbpedia.org/resource/Halitosis,,
738,Hallucinations,C0018524,http://dbpedia.org/resource/Hallucination,,
10566,Hamartoma,C0018552,http://dbpedia.org/resource/Hamartoma,,
12395,Seasonal_allergy,C0018621,http://dbpedia.org/resource/Allergy,,
2315,Headache,C0018681,http://dbpedia.org/resource/Headache,,
5101,High-frequency_hearing_impairment,C0018780,http://dbpedia.org/resource/Hearing_loss,,
407,Sensorineural_hearing_impairment,C0018784,http://dbpedia.org/resource/Hearing_loss,,
1695,Cardiac_arrest,C0018790,http://dbpedia.org/resource/Cardiac_arrest,,
12722,Heart_block,C0018794,http://dbpedia.org/resource/Heart_block,,
1627,Abnormal_heart_morphology,C0018798,http://dbpedia.org/resource/The_Normal_Heart_(film),,
2564,obsolete_Malformation_of_the_heart_and_great_vessels,C0018798,http://dbpedia.org/resource/Congenital_heart_defect,,
1640,Cardiomegaly,C0018800,http://dbpedia.org/resource/Cardiomegaly,,
1635,Congestive_heart_failure,C0018802,http://dbpedia.org/resource/Heart_failure,,
30148,Heart_murmur,C0018808,http://dbpedia.org/resource/Heart_murmur,,
1671,Abnormal_cardiac_septum_morphology,C0018816,http://dbpedia.org/resource/Heart_septal_defect,,
4760,obsolete_Congenital_septal_defect,C0018816,http://dbpedia.org/resource/Atrial_septal_defect,,
1631,Atrial_septal_defect,C0018817,http://dbpedia.org/resource/Atrial_septal_defect,,
1629,Ventricular_septal_defect,C0018818,http://dbpedia.org/resource/Ventricular_septal_defect,,
1028,Hemangioma,C0018916,http://dbpedia.org/resource/Hemangioma,,
5261,Joint_hemorrhage,C0018924,http://dbpedia.org/resource/Bleeding,,
2248,Hematemesis,C0018926,http://dbpedia.org/resource/Hematemesis,,
2573,Hematochezia,C0018932,http://dbpedia.org/resource/Hematochezia,,
100309,Subdural_hemorrhage,C0018946,http://dbpedia.org/resource/Bleeding,,
790,Hematuria,C0018965,http://dbpedia.org/resource/Hematuria,,
12377,Hemianopia,C0018979,http://dbpedia.org/resource/Hemianopsia,,
1269,Hemiparesis,C0018989,http://dbpedia.org/resource/Hemiparesis,,
2301,Hemiplegia,C0018991,http://dbpedia.org/resource/Hemiplegia,,
3641,Hemoglobinuria,C0019048,http://dbpedia.org/resource/Hemoglobinuria,,
5575,Hemolytic-uremic_syndrome,C0019061,http://dbpedia.org/resource/Hemolytic-uremic_syndrome,,
11851,Hemopericardium,C0019064,http://dbpedia.org/resource/Hemopericardium,,
11854,Hemoperitoneum,C0019065,http://dbpedia.org/resource/Hemoperitoneum,,
2105,Hemoptysis,C0019079,http://dbpedia.org/resource/Hemoptysis,,
12151,Hemothorax,C0019123,http://dbpedia.org/resource/Hemothorax,,
2480,Hepatic_encephalopathy,C0019151,http://dbpedia.org/resource/Hepatic_encephalopathy,,
12115,Hepatitis,C0019158,http://dbpedia.org/resource/Hepatitis,,
2240,Hepatomegaly,C0019209,http://dbpedia.org/resource/Hepatomegaly,,
1433,Hepatosplenomegaly,C0019214,http://dbpedia.org/resource/Hepatosplenomegaly,,
100790,Hernia,C0019270,http://dbpedia.org/resource/Hernia,,
23,Inguinal_hernia,C0019294,http://dbpedia.org/resource/Inguinal_hernia,,
1374,Congenital_hip_dislocation,C0019555,http://dbpedia.org/resource/Hip_dysplasia,,
1385,Hip_dysplasia,C0019555,http://dbpedia.org/resource/Hip_dysplasia,,
8807,Acetabular_dysplasia,C0019555,http://dbpedia.org/resource/Acetabulum_(morphology),,
1007,Hirsutism,C0019572,http://dbpedia.org/resource/Hirsutism,,
1609,Hoarse_voice,C0019825,http://dbpedia.org/resource/Harsh_voice,,
1618,Dysphonia,C0019825,http://dbpedia.org/resource/Dysphonia,,
12189,Hodgkin_lymphoma,C0019829,http://dbpedia.org/resource/Hodgkin's_lymphoma,,
2156,Homocystinuria,C0019880,http://dbpedia.org/resource/Homocystinuria,,
10606,Hordeolum,C0019917,http://dbpedia.org/resource/Bordelum,,
2277,Horner_syndrome,C0019937,http://dbpedia.org/resource/Horner's_syndrome,,
31473,Hostility,C0020039,http://dbpedia.org/resource/Hostility,,
238,Hydrocephalus,C0020255,http://dbpedia.org/resource/Hydrocephalus,,
126,Hydronephrosis,C0020295,http://dbpedia.org/resource/Hydronephrosis,,
557,Buphthalmos,C0020302,http://dbpedia.org/resource/Buphthalmos,,
1087,Congenital_glaucoma,C0020302,http://dbpedia.org/resource/Primary_juvenile_glaucoma,,
31005,Hyperalgesia,C0020429,http://dbpedia.org/resource/Hyperalgesia,,
2904,Hyperbilirubinemia,C0020433,http://dbpedia.org/resource/Hereditary_hyperbilirubinemia,,
3072,Hypercalcemia,C0020437,http://dbpedia.org/resource/Hypercalcaemia,,
2150,Hypercalciuria,C0020438,http://dbpedia.org/resource/Hypercalciuria,,
12416,Hypercapnia,C0020440,http://dbpedia.org/resource/Hypercapnia,,
3124,Hypercholesterolemia,C0020443,http://dbpedia.org/resource/Hypercholesterolemia,,
100963,Hyperesthesia,C0020453,http://dbpedia.org/resource/Hyperesthesia,,
3074,Hyperglycemia,C0020456,http://dbpedia.org/resource/Hyperglycemia,,
975,Hyperhidrosis,C0020458,http://dbpedia.org/resource/Hyperhidrosis,,
2153,Hyperkalemia,C0020461,http://dbpedia.org/resource/Hyperkalemia,,
3077,Hyperlipidemia,C0020473,http://dbpedia.org/resource/Hyperlipidemia,,
3228,Hypernatremia,C0020488,http://dbpedia.org/resource/Hypernatremia,,
100774,Hyperostosis,C0020492,http://dbpedia.org/resource/Hyperostosis,,
843,Hyperparathyroidism,C0020502,http://dbpedia.org/resource/Hyperparathyroidism,,
867,Secondary_hyperparathyroidism,C0020503,http://dbpedia.org/resource/Secondary_hyperparathyroidism,,
2591,Polyphagia,C0020505,http://dbpedia.org/resource/Polyphagia,,
870,Prolactin_excess,C0020514,http://dbpedia.org/resource/Prolactin,,
822,Hypertension,C0020538,http://dbpedia.org/resource/Hypertension,,
1409,Portal_hypertension,C0020541,http://dbpedia.org/resource/Portal_hypertension,,
100735,Hypertensive_crisis,C0020546,http://dbpedia.org/resource/Hypertensive_crisis,,
836,Hyperthyroidism,C0020550,http://dbpedia.org/resource/Hyperthyroidism,,
998,Hypertrichosis,C0020555,http://dbpedia.org/resource/Hypertrichosis,,
2155,Hypertriglyceridemia,C0020557,http://dbpedia.org/resource/Hypertriglyceridemia,,
10313,Breast_hypertrophy,C0020565,http://dbpedia.org/resource/Breast_hypertrophy,,
2883,Hyperventilation,C0020578,http://dbpedia.org/resource/Hyperventilation,,
3474,Sensory_impairment,C0020580,http://dbpedia.org/resource/Impairment,,
2901,Hypocalcemia,C0020598,http://dbpedia.org/resource/Hypocalcaemia,,
1943,Hypoglycemia,C0020615,http://dbpedia.org/resource/Hypoglycemia,,
1325,Hypoglycemic_coma,C0020617,http://dbpedia.org/resource/Hypoglycemia,,
135,Hypogonadism,C0020619,http://dbpedia.org/resource/Hypogonadism,,
8213,Gonadotropin_deficiency,C0020619,http://dbpedia.org/resource/Gonadotropin,,
966,Hypohidrosis,C0020620,http://dbpedia.org/resource/Hypohidrosis,,
2900,Hypokalemia,C0020621,http://dbpedia.org/resource/Hypokalemia,,
2902,Hyponatremia,C0020625,http://dbpedia.org/resource/Hyponatremia,,
40075,Hypopituitarism,C0020635,http://dbpedia.org/resource/Hypopituitarism,,
3075,Hypoproteinemia,C0020639,http://dbpedia.org/resource/Hypoproteinemia,,
2615,Hypotension,C0020649,http://dbpedia.org/resource/Hypotension,,
1278,Orthostatic_hypotension,C0020651,http://dbpedia.org/resource/Orthostatic_hypotension,,
2045,Hypothermia,C0020672,http://dbpedia.org/resource/Hypothermia,,
821,Hypothyroidism,C0020676,http://dbpedia.org/resource/Hypothyroidism,,
